id,name,party,sector,country
ul,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Recht,USA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Geschichte,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermanns,,Politik,Niederlande
am,Andrij Melnyk,,Politik,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Bundeswehr,Deutschland
rh,Robert Habeck,Grüne,Politik,Deutschland
cm,Claudia Major,,Politik ,Deutschland
kp,Katja Petrowskaja,,Journalismus,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,deutschland
500,Folge 500,,,
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,
CDU,Christlich Demokratische Union,,,
SPD,Sozialdemokratische Union,,,
FDP,Freie Demokratische Partei,,,
Grüne,Bündnis 90/Die Grüne,,,
Linke,Die Linke,,,